Model,Language,Intent_Class,Precision,Recall,F1_Score,Support
Logistic Regression,tamilish,disposable_card_limits,75.0,22.5,34.62,40
Logistic Regression,tamilish,edit_personal_details,80.0,60.0,68.57,40
Logistic Regression,tamilish,exchange_charge,50.0,20.0,28.57,40
Logistic Regression,tamilish,exchange_rate,71.43,12.5,21.28,40
Logistic Regression,tamilish,exchange_via_app,79.59,97.5,87.64,40
Logistic Regression,tamilish,extra_charge_on_statement,79.41,67.5,72.97,40
Logistic Regression,tamilish,failed_transfer,40.0,15.0,21.82,40
Logistic Regression,tamilish,fiat_currency_support,49.23,80.0,60.95,40
Logistic Regression,tamilish,get_disposable_virtual_card,46.58,85.0,60.18,40
Logistic Regression,tamilish,get_physical_card,45.0,90.0,60.0,40
Logistic Regression,tamilish,getting_spare_card,71.88,57.5,63.89,40
Logistic Regression,tamilish,getting_virtual_card,67.86,95.0,79.17,40
Logistic Regression,tamilish,lost_or_stolen_card,51.79,72.5,60.42,40
Logistic Regression,tamilish,lost_or_stolen_phone,100.0,92.5,96.1,40
Logistic Regression,tamilish,order_physical_card,43.33,65.0,52.0,40
Logistic Regression,tamilish,passcode_forgotten,100.0,100.0,100.0,40
Logistic Regression,tamilish,pending_card_payment,85.0,42.5,56.67,40
Logistic Regression,tamilish,pending_cash_withdrawal,96.97,80.0,87.67,40
Logistic Regression,tamilish,pending_top_up,48.08,62.5,54.35,40
Logistic Regression,tamilish,pending_transfer,41.98,85.0,56.2,40
Logistic Regression,tamilish,pin_blocked,88.24,37.5,52.63,40
Logistic Regression,tamilish,receiving_money,37.36,85.0,51.91,40
Logistic Regression,tamilish,request_refund,85.0,42.5,56.67,40
Logistic Regression,tamilish,reverted_card_payment?,93.33,70.0,80.0,40
Logistic Regression,tamilish,supported_cards_and_currencies,65.79,62.5,64.1,40
Logistic Regression,tamilish,terminate_account,89.47,85.0,87.18,40
Logistic Regression,tamilish,top_up_by_bank_transfer_charge,91.67,55.0,68.75,40
Logistic Regression,tamilish,top_up_by_card_charge,66.67,20.0,30.77,40
Logistic Regression,tamilish,top_up_by_cash_or_cheque,88.89,40.0,55.17,40
Logistic Regression,tamilish,top_up_failed,19.42,50.0,27.97,40
Logistic Regression,tamilish,top_up_limits,88.1,92.5,90.24,40
Logistic Regression,tamilish,top_up_reverted,12.5,2.5,4.17,40
Logistic Regression,tamilish,topping_up_by_card,45.76,67.5,54.55,40
Logistic Regression,tamilish,transaction_charged_twice,96.3,65.0,77.61,40
Logistic Regression,tamilish,transfer_fee_charged,58.82,25.0,35.09,40
Logistic Regression,tamilish,transfer_into_account,0.0,0.0,0.0,40
Logistic Regression,tamilish,transfer_not_received_by_recipient,30.77,10.0,15.09,40
Logistic Regression,tamilish,transfer_timing,82.35,70.0,75.68,40
Logistic Regression,tamilish,unable_to_verify_identity,90.0,22.5,36.0,40
Logistic Regression,tamilish,verify_my_identity,35.45,97.5,52.0,40
Logistic Regression,tamilish,verify_source_of_funds,59.46,55.0,57.14,40
Logistic Regression,tamilish,verify_top_up,95.0,95.0,95.0,40
Logistic Regression,tamilish,virtual_card_not_working,100.0,25.0,40.0,40
Logistic Regression,tamilish,visa_or_mastercard,94.87,92.5,93.67,40
Logistic Regression,tamilish,why_verify_identity,87.5,35.0,50.0,40
Logistic Regression,tamilish,wrong_amount_of_cash_received,48.75,97.5,65.0,40
Logistic Regression,tamilish,wrong_exchange_rate_for_cash_withdrawal,84.62,27.5,41.51,40
Logistic Regression,all,Refund_not_showing_up,91.18,62.0,73.81,200
Logistic Regression,all,activate_my_card,99.43,87.5,93.09,200
Logistic Regression,all,age_limit,91.55,97.5,94.43,200
Logistic Regression,all,apple_pay_or_google_pay,100.0,100.0,100.0,200
Logistic Regression,all,atm_support,82.06,93.85,87.56,195
