id,language,tokenizer,model_id,word_count,subword_count,seq_length,fragmentation_ratio,unk_rate,trunc_64,trunc_128,trunc_256,trunc_512
2526,english,xlm_roberta,xlm-roberta-base,13,18,20,1.3846,0.0,0,0,0,0
717,english,xlm_roberta,xlm-roberta-base,16,18,20,1.125,0.0,0,0,0,0
6419,english,xlm_roberta,xlm-roberta-base,24,30,32,1.25,0.0,0,0,0,0
2215,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
8364,english,xlm_roberta,xlm-roberta-base,10,12,14,1.2,0.0,0,0,0,0
7221,english,xlm_roberta,xlm-roberta-base,9,13,15,1.4444,0.0,0,0,0,0
1032,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
1568,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
8259,english,xlm_roberta,xlm-roberta-base,10,14,16,1.4,0.0,0,0,0,0
3443,english,xlm_roberta,xlm-roberta-base,19,24,26,1.2632,0.0,0,0,0,0
2837,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
4621,english,xlm_roberta,xlm-roberta-base,12,14,16,1.1667,0.0,0,0,0,0
4087,english,xlm_roberta,xlm-roberta-base,6,8,10,1.3333,0.0,0,0,0,0
2855,english,xlm_roberta,xlm-roberta-base,16,20,22,1.25,0.0,0,0,0,0
5186,english,xlm_roberta,xlm-roberta-base,6,10,12,1.6667,0.0,0,0,0,0
7576,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
9277,english,xlm_roberta,xlm-roberta-base,12,14,16,1.1667,0.0,0,0,0,0
6065,english,xlm_roberta,xlm-roberta-base,9,9,11,1.0,0.0,0,0,0,0
339,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
7859,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
802,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
9075,english,xlm_roberta,xlm-roberta-base,17,18,20,1.0588,0.0,0,0,0,0
7745,english,xlm_roberta,xlm-roberta-base,9,13,15,1.4444,0.0,0,0,0,0
9930,english,xlm_roberta,xlm-roberta-base,19,22,24,1.1579,0.0,0,0,0,0
9761,english,xlm_roberta,xlm-roberta-base,14,16,18,1.1429,0.0,0,0,0,0
1714,english,xlm_roberta,xlm-roberta-base,12,16,18,1.3333,0.0,0,0,0,0
8435,english,xlm_roberta,xlm-roberta-base,9,11,13,1.2222,0.0,0,0,0,0
6528,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
2068,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
471,english,xlm_roberta,xlm-roberta-base,12,17,19,1.4167,0.0,0,0,0,0
7873,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
2909,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
4127,english,xlm_roberta,xlm-roberta-base,10,13,15,1.3,0.0,0,0,0,0
4112,english,xlm_roberta,xlm-roberta-base,15,18,20,1.2,0.0,0,0,0,0
2835,english,xlm_roberta,xlm-roberta-base,17,18,20,1.0588,0.0,0,0,0,0
334,english,xlm_roberta,xlm-roberta-base,5,7,9,1.4,0.0,0,0,0,0
9307,english,xlm_roberta,xlm-roberta-base,7,9,11,1.2857,0.0,0,0,0,0
6658,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
7533,english,xlm_roberta,xlm-roberta-base,6,9,11,1.5,0.0,0,0,0,0
5324,english,xlm_roberta,xlm-roberta-base,18,23,25,1.2778,0.0,0,0,0,0
8232,english,xlm_roberta,xlm-roberta-base,13,14,16,1.0769,0.0,0,0,0,0
4960,english,xlm_roberta,xlm-roberta-base,11,14,16,1.2727,0.0,0,0,0,0
8691,english,xlm_roberta,xlm-roberta-base,31,37,39,1.1935,0.0,0,0,0,0
4602,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
9017,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
6258,english,xlm_roberta,xlm-roberta-base,14,16,18,1.1429,0.0,0,0,0,0
9499,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
5887,english,xlm_roberta,xlm-roberta-base,7,10,12,1.4286,0.0,0,0,0,0
5854,english,xlm_roberta,xlm-roberta-base,17,20,22,1.1765,0.0,0,0,0,0
8339,english,xlm_roberta,xlm-roberta-base,13,15,17,1.1538,0.0,0,0,0,0
9405,english,xlm_roberta,xlm-roberta-base,12,16,18,1.3333,0.0,0,0,0,0
5689,english,xlm_roberta,xlm-roberta-base,9,13,15,1.4444,0.0,0,0,0,0
1053,english,xlm_roberta,xlm-roberta-base,12,14,16,1.1667,0.0,0,0,0,0
4934,english,xlm_roberta,xlm-roberta-base,6,9,11,1.5,0.0,0,0,0,0
7513,english,xlm_roberta,xlm-roberta-base,4,6,8,1.5,0.0,0,0,0,0
